,object,image,state,adj
2,seatbelt,seatbelt_open.jpg,a,open
3,book,book_open.jpg,a,open
4,milkcarton,milkcarton_open.jpg,a,open
8,can,can_open.jpg,a,open
9,backpack,backpack_open.jpg,a,open
10,waterbottle,waterbottle_open.jpg,a,open
11,cabinet,cabinet_open.jpg,a,open
13,dishwasher,dishwasher_open.jpg,a,open
15,stapler,stapler_open.jpg,a,open
16,door,door_open.jpg,a,open
17,chestofdrawers,chestofdrawers_open.jpg,a,open
18,filefolder,filefolder_open.jpg,a,open
19,fridge,fridge_open.jpg,a,open
21,juicebottle,juicebottle_open.jpg,a,open
22,gate,gate_open.jpg,a,open
23,lock,lock_open.jpg,a,open
26,microwave,microwave_open.jpg,a,open
27,cdplayer,cdplayer_open.jpg,a,open
29,wallet,wallet_open.jpg,a,open
30,suitcase,suitcase_open.jpg,a,open
34,chapstick,chapstick_open.jpg,a,open
36,laptop,laptop_open.jpg,a,open
37,marker,marker_open.jpg,a,open
39,scissors,scissors_open.jpg,a,open
43,eye,eye_open.jpg,a,open
47,treasurechest,treasurechest_open.jpg,a,open
49,pot,pot_open.jpg,a,open
50,pizza,pizza_sliced.jpg,a,sliced
51,kiwi,kiwi_sliced.jpg,a,sliced
52,lime,lime_sliced.jpg,a,sliced
53,pickle,pickle_sliced.jpg,a,sliced
54,watermelon,watermelon_sliced.jpg,a,sliced
55,salami,salami_sliced.jpg,a,sliced
56,pineapple,pineapple_sliced.jpg,a,sliced
57,bread,bread_sliced.jpg,a,sliced
58,apple,apple_sliced.jpg,a,sliced
60,garlic,garlic_peeled.jpg,a,peeled
61,banana,banana_peeled.jpg,a,peeled
62,carrot,carrot_peeled.jpg,a,peeled
63,orange,orange_peeled.jpg,a,peeled
64,onion,onion_peeled.jpg,a,peeled
65,blanket,blanket_folded.jpg,a,folded
67,paper,paper_folded.jpg,a,folded
68,sweater,sweater_folded.jpg,a,folded
69,napkin,napkin_folded.jpg,a,folded
70,towel,towel_folded.jpg,a,folded
71,ladder,ladder_folded.jpg,a,folded
72,lawnchair,lawnchair_folded.jpg,a,folded
74,shoelace,shoelace_tied.jpg,a,tied
75,rug,rug_rolled.jpg,a,rolled
76,bill,bill_rolled.jpg,a,rolled
77,sleepingbag,sleepingbag_rolled.jpg,a,rolled
78,yogamat,yogamat_rolled.jpg,a,rolled
79,straw,straw_bent.jpg,a,bent
81,waterpipe,waterpipe_bent.jpg,a,bent
83,safetypin,safetypin_bent.jpg,a,bent
84,nail,nail_bent.jpg,a,bent
86,paperclip,paperclip_bent.jpg,a,bent
91,magnet,magnet_bent.jpg,a,bent
93,road,road_curved.jpg,a,curved
96,staircase,staircase_curved.jpg,a,curved
97,boot,boot_dirty.jpg,a,dirty
98,dish,dish_dirty.jpg,a,dirty
99,car,car_dirty.jpg,a,dirty
103,gloves,gloves_dirty.jpg,a,dirty
105,spoon,spoon_dirty.jpg,a,dirty
107,stovetop,stovetop_dirty.jpg,a,dirty
108,bucket,bucket_dirty.jpg,a,dirty
109,shoe,shoe_dirty.jpg,a,dirty
110,cup,cup_dirty.jpg,a,dirty
111,hands,hands_dirty.jpg,a,dirty
112,soccerball,soccerball_dirty.jpg,a,dirty
113,potato,potato_dirty.jpg,a,dirty
114,couch,couch_dirty.jpg,a,dirty
115,pig,pig_dirty.jpg,a,dirty
120,cookie,cookie_broken.jpg,a,broken
121,cracker,cracker_broken.jpg,a,broken
122,chocolatebar,chocolatebar_broken.jpg,a,broken
123,vase,vase_broken.jpg,a,broken
124,glasses,glasses_broken.jpg,a,broken
125,egg,egg_broken.jpg,a,broken
126,fence,fence_broken.jpg,a,broken
127,mirror,mirror_broken.jpg,a,broken
128,tire,tire_broken.jpg,a,broken
129,cigarette,cigarette_broken.jpg,a,broken
130,pencil,pencil_broken.jpg,a,broken
131,piggybank,piggybank_broken.jpg,a,broken
133,plate,plate_broken.jpg,a,broken
134,table,table_broken.jpg,a,broken
135,chain,chain_broken.jpg,a,broken
137,envelope,envelope_ripped.jpg,a,ripped
138,naan,naan_ripped.jpg,a,ripped
139,sugarpacket,sugarpacket_ripped.jpg,a,ripped
140,notepad,notepad_ripped.jpg,a,ripped
141,chipbag,chipbag_ripped.jpg,a,ripped
142,jar,jar_empty.jpg,a,empty
143,garbagecan,garbagecan_empty.jpg,a,empty
144,hamper,hamper_empty.jpg,a,empty
145,eggcarton,eggcarton_empty.jpg,a,empty
146,wineglass,wineglass_empty.jpg,a,empty
147,shoppingcart,shoppingcart_empty.jpg,a,empty
150,seatbelt,seatbelt_closed.jpg,b,closed
151,book,book_closed.jpg,b,closed
152,milkcarton,milkcarton_closed.jpg,b,closed
156,can,can_closed.jpg,b,closed
157,backpack,backpack_closed.jpg,b,closed
158,waterbottle,waterbottle_closed.jpg,b,closed
159,cabinet,cabinet_closed.jpg,b,closed
161,dishwasher,dishwasher_closed.jpg,b,closed
163,stapler,stapler_closed.jpg,b,closed
164,door,door_closed.jpg,b,closed
165,chestofdrawers,chestofdrawers_closed.jpg,b,closed
166,filefolder,filefolder_closed.jpg,b,closed
167,fridge,fridge_closed.jpg,b,closed
169,juicebottle,juicebottle_closed.jpg,b,closed
170,gate,gate_closed.jpg,b,closed
171,lock,lock_closed.jpg,b,closed
174,microwave,microwave_closed.jpg,b,closed
175,cdplayer,cdplayer_closed.jpg,b,closed
177,wallet,wallet_closed.jpg,b,closed
178,suitcase,suitcase_closed.jpg,b,closed
182,chapstick,chapstick_closed.jpg,b,closed
184,laptop,laptop_closed.jpg,b,closed
185,marker,marker_closed.jpg,b,closed
187,scissors,scissors_closed.jpg,b,closed
191,eye,eye_closed.jpg,b,closed
195,treasurechest,treasurechest_closed.jpg,b,closed
197,pot,pot_closed.jpg,b,closed
198,pizza,pizza_unsliced.jpg,b,unsliced
199,kiwi,kiwi_unsliced.jpg,b,unsliced
200,lime,lime_unsliced.jpg,b,unsliced
201,pickle,pickle_unsliced.jpg,b,unsliced
202,watermelon,watermelon_unsliced.jpg,b,unsliced
203,salami,salami_unsliced.jpg,b,unsliced
204,pineapple,pineapple_unsliced.jpg,b,unsliced
205,bread,bread_unsliced.jpg,b,unsliced
206,apple,apple_unsliced.jpg,b,unsliced
208,garlic,garlic_unpeeled.jpg,b,unpeeled
209,banana,banana_unpeeled.jpg,b,unpeeled
210,carrot,carrot_unpeeled.jpg,b,unpeeled
211,orange,orange_unpeeled.jpg,b,unpeeled
212,onion,onion_unpeeled.jpg,b,unpeeled
213,blanket,blanket_unfolded.jpg,b,unfolded
215,paper,paper_unfolded.jpg,b,unfolded
216,sweater,sweater_unfolded.jpg,b,unfolded
217,napkin,napkin_unfolded.jpg,b,unfolded
218,towel,towel_unfolded.jpg,b,unfolded
219,ladder,ladder_unfolded.jpg,b,unfolded
220,lawnchair,lawnchair_unfolded.jpg,b,unfolded
222,shoelace,shoelace_untied.jpg,b,untied
223,rug,rug_unrolled.jpg,b,unrolled
224,bill,bill_unrolled.jpg,b,unrolled
225,sleepingbag,sleepingbag_unrolled.jpg,b,unrolled
226,yogamat,yogamat_unrolled.jpg,b,unrolled
227,straw,straw_straight.jpg,b,straight
229,waterpipe,waterpipe_straight.jpg,b,straight
231,safetypin,safetypin_straight.jpg,b,straight
232,nail,nail_straight.jpg,b,straight
234,paperclip,paperclip_straight.jpg,b,straight
239,magnet,magnet_straight.jpg,b,straight
241,road,road_straight.jpg,b,straight
244,staircase,staircase_straight.jpg,b,straight
245,boot,boot_clean.jpg,b,clean
246,dish,dish_clean.jpg,b,clean
247,car,car_clean.jpg,b,clean
251,gloves,gloves_clean.jpg,b,clean
253,spoon,spoon_clean.jpg,b,clean
255,stovetop,stovetop_clean.jpg,b,clean
256,bucket,bucket_clean.jpg,b,clean
257,shoe,shoe_clean.jpg,b,clean
258,cup,cup_clean.jpg,b,clean
259,hands,hands_clean.jpg,b,clean
260,soccerball,soccerball_clean.jpg,b,clean
261,potato,potato_clean.jpg,b,clean
262,couch,couch_clean.jpg,b,clean
263,pig,pig_clean.jpg,b,clean
268,cookie,cookie_whole.jpg,b,whole
269,cracker,cracker_whole.jpg,b,whole
270,chocolatebar,chocolatebar_whole.jpg,b,whole
271,vase,vase_whole.jpg,b,whole
272,glasses,glasses_whole.jpg,b,whole
273,egg,egg_whole.jpg,b,whole
274,fence,fence_whole.jpg,b,whole
275,mirror,mirror_whole.jpg,b,whole
276,tire,tire_whole.jpg,b,whole
277,cigarette,cigarette_whole.jpg,b,whole
278,pencil,pencil_whole.jpg,b,whole
279,piggybank,piggybank_whole.jpg,b,whole
281,plate,plate_whole.jpg,b,whole
282,table,table_whole.jpg,b,whole
283,chain,chain_whole.jpg,b,whole
285,envelope,envelope_whole.jpg,b,whole
286,naan,naan_whole.jpg,b,whole
287,sugarpacket,sugarpacket_whole.jpg,b,whole
288,notepad,notepad_whole.jpg,b,whole
289,chipbag,chipbag_whole.jpg,b,whole
290,jar,jar_full.jpg,b,full
291,garbagecan,garbagecan_full.jpg,b,full
292,hamper,hamper_full.jpg,b,full
293,eggcarton,eggcarton_full.jpg,b,full
294,wineglass,wineglass_full.jpg,b,full
295,shoppingcart,shoppingcart_full.jpg,b,full
